Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
JA AUTO AS,927367297,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,8,12564607,11251732,1312875,"10,45 %",0,0,-348516,"-2,77 %",964358,"7,68 %",749360,"5,96 %",749360,7499671,4338634,11838305,"6,33 %",250000,2757308,"27,18 %","23,29 %",9080997,"329,34 %","76,71 %",11838305,6710412,2362887,"183,62 %",1570576,1
JA BILMEGLING AS,813755742,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,12,18657230,18382992,274239,"1,47 %",1928,160855,-158928,"-0,85 %",115311,"0,62 %",115311,"0,62 %",115311,2811770,3090998,5902768,"1,95 %",406000,663419,"17,38 %","11,24 %",5239349,"789,75 %","88,76 %",5902768,1500016,3739333,"82,66 %",1554769,1
JA SMART REPAIR AS,920237185,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,3158080,3251686,-93606,"-2,96 %",156,22100,-21943,"-0,69 %",-115550,"-3,66 %",-115550,"-3,66 %",,239255,682368,921623,"-12,54 %",30000,-189686,"60,92 %","-20,58 %",1111309,"-585,87 %","120,58 %",921623,129161,982148,"69,48 %",526347,0
JACOB'S AUTO SUPPLY AS,918878300,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,14,22855448,21849467,1005981,"4,40 %",37988,120535,-82547,"-0,36 %",923433,"4,04 %",686636,"3,00 %",686636,2018096,9199116,11217212,"6,12 %",2100000,3465410,"19,81 %","30,89 %",7751802,"223,69 %","69,11 %",11217212,298155,7453647,"123,42 %",1632532,1
JAHR BILSERVICE AS,997985656,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,20404421,18829142,1575279,"7,72 %",222684,24242,198442,"0,97 %",1773721,"8,69 %",1382726,"6,78 %",,2840635,5944561,8785196,"15,74 %",660000,6125739,"22,57 %","69,73 %",2659457,"43,41 %","30,27 %",8785196,142109,2517348,"236,14 %",2550553,1
JAHRE MOTOR HAMAR AS,935614031,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,23144819,22975711,169108,"0,73 %",19088,427208,-408120,"-1,76 %",-239012,"-1,03 %",-188146,"-0,81 %",,1888639,6809744,8698383,"-2,16 %",346123,346123,"-54,36 %","3,98 %",8352260,"2413,09 %","96,02 %",8698383,6584799,1767461,"385,28 %",3857470,1
JAN KÅRES BIL AS,929520513,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,23629992,22285516,1344476,"5,69 %",7052,10649,-3597,"-0,02 %",1340879,"5,67 %",1047171,"4,43 %",,9760,4515561,4525321,"23,14 %",30000,3655902,"28,64 %","80,79 %",869419,"23,78 %","19,21 %",4525321,1607,867812,"520,34 %",3938332,1
JAN L WESTBY KAROSSERI & LAKK AS,993120421,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,9369680,8198147,1171534,"12,50 %",292050,5860,286190,"3,05 %",1457724,"15,56 %",1136040,"12,12 %",1136040,606754,12000898,12607652,"9,01 %",100000,11131108,"10,21 %","88,29 %",1476545,"13,27 %","11,71 %",12607652,237306,1239238,"968,41 %",1873936,0
JANCO BILREP AS,948050099,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,7485538,7548994,-63456,"-0,85 %",10600,270261,-259661,"-3,47 %",-323117,"-4,32 %",-252032,"-3,37 %",-252032,3176746,667053,3843799,"-6,56 %",139000,-312517,"80,65 %","-8,13 %",4156316,"-1329,95 %","108,13 %",3843799,3500000,656316,"101,64 %",1247590,1
JANS MOTORSENTER AS,998442893,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,3800858,3173358,627499,"16,51 %",,9040,-9040,"-0,24 %",618459,"16,27 %",482398,"12,69 %",482398,0,1663103,1663103,"29,01 %",30000,1070715,"45,05 %","64,38 %",592388,"55,33 %","35,62 %",1663103,0,592388,"280,75 %",542980,1
JARLES BIL AS,921715951,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,115285902,109573096,5712806,"4,96 %",19095,165728,-146633,"-0,13 %",5566173,"4,83 %",4405565,"3,82 %",4405565,806237,26074577,26880814,"16,39 %",500000,24735893,"17,81 %","92,02 %",2144921,"8,67 %","7,98 %",26880814,89322,2055599,"1268,47 %",23057180,1
JENSEN & SCHEELE BIL AS,960968727,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,66,434252000,431156000,3097000,"0,71 %",70000,5453000,-5384000,"-1,24 %",-2287000,"-0,53 %",-1871000,"-0,43 %",-1871000,25333000,125534000,150868000,"-1,24 %",6217000,24261000,"-7,71 %","16,08 %",126607000,"521,85 %","83,92 %",150868000,3684000,122923000,"102,12 %",6579576,1
JENSENS BILSERVICE AS,997898508,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,15597203,14115256,1481947,"9,50 %",151125,90,151035,"0,97 %",1632982,"10,47 %",1273726,"8,17 %",,754051,5124546,5878597,"21,67 %",30000,3445758,"36,97 %","58,62 %",2432839,"70,60 %","41,38 %",5878597,39713,2393126,"214,14 %",2228172,0
JERN & MASKIN AS,997385772,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,19,61748523,55858021,5890501,"9,54 %",211545,5203,206342,"0,33 %",6096843,"9,87 %",4754802,"7,70 %",4754802,970621,26978059,27948680,"17,01 %",4427483,7883303,"60,31 %","28,21 %",20065376,"254,53 %","71,79 %",27948680,0,20065376,"134,45 %",3249922,0
JESSHEIM BILPLEIE SENTER AS,921622422,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,1303950,1234819,69131,"5,30 %",161,7866,-7705,"-0,59 %",61426,"4,71 %",52852,"4,05 %",,259714,312312,572026,"9,24 %",30000,101680,"51,98 %","17,78 %",470347,"462,58 %","82,22 %",572027,91100,379247,"82,35 %",186279,1
JESSHEIM BILSKADE AS,989893475,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,12434295,12125570,308724,"2,48 %",13356,6119,7236,"0,06 %",315961,"2,54 %",245431,"1,97 %",,475500,3328266,3803766,"6,45 %",300000,1874149,"13,10 %","49,27 %",1929618,"102,96 %","50,73 %",3803766,360382,1569236,"212,09 %",2072383,1
JEVNAKER BILVERKSTED AS,988029203,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,9384043,8583472,800571,"8,53 %",37777,28561,9215,"0,10 %",809786,"8,63 %",634046,"6,76 %",634046,368528,4357762,4726289,"13,42 %",350000,3171190,"19,99 %","67,10 %",1555100,"49,04 %","32,90 %",4726290,0,1555100,"280,22 %",1876809,0
JL HARSTAD AS,933219208,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,10114260,10053467,60793,"0,60 %",41228,161268,-120041,"-1,19 %",-59248,"-0,59 %",-47190,"-0,47 %",,2287408,1477057,3764465,"-1,25 %",30000,-126342,"37,35 %","-3,36 %",3890807,"-3079,58 %","103,36 %",3764465,0,3890807,"37,96 %",2022852,0
JOHANNESSEN SERVICE AS,927658623,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,8001176,8365949,-364773,"-4,56 %",36157,15683,20473,"0,26 %",-344300,"-4,30 %",-267292,"-3,34 %",,613734,2776319,3390053,"-7,88 %",30000,-708061,"37,75 %","-20,89 %",4098114,"-578,78 %","120,89 %",3390053,0,4098114,"67,75 %",1333529,1
JOHANSEN AUTO-SERVICE AS,997669932,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,13674300,11621263,2053037,"15,01 %",60201,37734,22467,"0,16 %",2075504,"15,18 %",1651888,"12,08 %",1651888,636584,2495256,3131840,"52,74 %",304653,1457103,"113,37 %","46,53 %",1674737,"114,94 %","53,47 %",3131840,113411,1561326,"159,82 %",1519367,1
JOHANSSONS AUTO AS,997091973,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,10,17005611,13030356,3975255,"23,38 %",96116,1015,95101,"0,56 %",4070356,"23,94 %",3175256,"18,67 %",3175256,1144264,5884293,7028557,"45,18 %",100000,3653540,"86,91 %","51,98 %",3375017,"92,38 %","48,02 %",7028557,0,3375017,"174,35 %",1700561,1
JONDAL BIL AS,980353419,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,6801812,6389123,412689,"6,07 %",20343,333262,-312919,"-4,60 %",99770,"1,47 %",92824,"1,36 %",92824,3976646,1981887,5958533,"1,56 %",255000,1003385,"9,25 %","16,84 %",4955149,"493,84 %","83,16 %",5958533,4234783,720366,"275,12 %",850227,0
JONS DEKK & FELG AS,985553645,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,7,36235013,32400578,3834435,"10,58 %",5039,8581,-3542,"-0,01 %",3830893,"10,57 %",2970760,"8,20 %",2970760,789052,11225645,12014697,"24,73 %",100000,4884469,"60,82 %","40,65 %",7130228,"145,98 %","59,35 %",12014697,0,7130228,"157,44 %",5176430,0
JONSTAD AUTO AS,911589346,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,22,36045802,35570541,475261,"1,32 %",62281,530078,-467797,"-1,30 %",7465,"0,02 %",5506,"0,02 %",,3202995,13626275,16829270,"0,03 %",240709,6657003,"0,08 %","39,56 %",10172267,"152,81 %","60,44 %",16829269,4380682,5791585,"235,28 %",1638446,1
JONSTAD AUTO HAMAR AS,930605360,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,21059569,22441316,-1381747,"-6,56 %",44415,270998,-226583,"-1,08 %",-1608330,"-7,64 %",-1608330,"-7,64 %",-1608330,2596263,3724929,6321192,"-25,44 %",1794430,66856,"-2405,66 %","1,06 %",6254336,"9354,94 %","98,94 %",6321192,2934278,3320058,"112,19 %",1914506,0
JOWA AS,913312805,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,6,5527567,5319917,207650,"3,76 %",81,66264,-66182,"-1,20 %",141468,"2,56 %",110224,"1,99 %",,315241,4108571,4423812,"2,49 %",30000,1652096,"6,67 %","37,35 %",2771716,"167,77 %","62,65 %",4423812,176262,2595454,"158,30 %",921261,0
JP BILPLEIE AS,929376420,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,2477667,2532050,-54383,"-2,19 %",378,6065,-5687,"-0,23 %",-60070,"-2,42 %",-46681,"-1,88 %",,265696,249146,514842,"-9,07 %",30000,-155324,"30,05 %","-30,17 %",670165,"-431,46 %","130,17 %",514842,0,670165,"37,18 %",412945,1
JPL BILVERKSTED AS,983692443,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,6759912,6593569,166343,"2,46 %",552,512,40,"0,00 %",166383,"2,46 %",128828,"1,91 %",,47514,1496641,1544155,"8,34 %",100000,762358,"16,90 %","49,37 %",781797,"102,55 %","50,63 %",1544155,0,781797,"191,44 %",1351982,1
JUSYS SALG OG SERVICE AS,998796334,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,2763687,2540092,223595,"8,09 %",8735,80464,-71729,"-2,60 %",151866,"5,50 %",118247,"4,28 %",,1759250,914158,2673408,"4,42 %",30000,1292063,"9,15 %","48,33 %",1381346,"106,91 %","51,67 %",2673409,1067643,313703,"291,41 %",460615,1
JÆGER AUTOMOBIL AS,839280882,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,132,946555132,918093336,28461796,"3,01 %",14565836,4985916,9579920,"1,01 %",38041716,"4,02 %",32528155,"3,44 %",32528155,97023850,183770992,280794842,"11,58 %",110325600,148464714,"21,91 %","52,87 %",132330128,"89,13 %","47,13 %",280794842,18968090,113362038,"162,11 %",7170872,1
JÆGER SENTRUM AS,976070097,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,96,851263066,831546043,19717023,"2,32 %",2025044,4382470,-2357426,"-0,28 %",17359597,"2,04 %",13815721,"1,62 %",13815721,25197231,236997489,262194720,"5,27 %",100450000,82213226,"16,80 %","31,36 %",179981494,"218,92 %","68,64 %",262194720,6250047,173731447,"136,42 %",8867324,1
JÆREN BILPLEIE 1 AS,920413781,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,17,2250598,2006311,244288,"10,85 %",,936,-936,"-0,04 %",243352,"10,81 %",189762,"8,43 %",189762,896632,263230,1159862,"16,36 %",30000,522193,"36,34 %","45,02 %",637669,"122,11 %","54,98 %",1159862,0,637669,"41,28 %",132388,1
JÆREN BILVERKSTED AS,933985822,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,24147039,23462407,684632,"2,84 %",1258,329545,-328287,"-1,36 %",356345,"1,48 %",278001,"1,15 %",278001,346447,1270522,1616969,"17,19 %",132621,132621,"209,62 %","8,20 %",1484349,"1119,24 %","91,80 %",1616969,239658,1244691,"102,08 %",3018380,0
JÆREN DEKK AS,924769866,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,8,13286559,12090105,1196454,"9,00 %",9544,26397,-16853,"-0,13 %",1179601,"8,88 %",920089,"6,92 %",920089,87667,4572162,4659829,"19,75 %",230000,2284834,"40,27 %","49,03 %",2374995,"103,95 %","50,97 %",4659829,0,2374995,"192,51 %",1660820,1
JÆREN STORBIL SENTER AS,986348670,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,24,71181171,68067846,3113325,"4,37 %",-31170,850511,-881682,"-1,24 %",2231644,"3,14 %",1602203,"2,25 %",1602203,555537,21826453,22381990,"7,16 %",1778942,9232092,"17,35 %","41,25 %",13149898,"142,44 %","58,75 %",22381990,0,13149898,"165,98 %",2965882,0
JÆTÅSEN BIL AS,984720858,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,13,49113264,48485958,627306,"1,28 %",4678,389505,-384828,"-0,78 %",242478,"0,49 %",188972,"0,38 %",,957519,6654139,7611658,"2,48 %",546940,3058037,"6,18 %","40,18 %",4553622,"148,91 %","59,82 %",7611659,1553986,2999636,"221,83 %",3777943,0
JØLSTER BIL AS,925814393,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,12266922,10351862,1915060,"15,61 %",89553,4443,85110,"0,69 %",2000171,"16,31 %",1556956,"12,69 %",1556956,244802,5670535,5915337,"26,32 %",60000,2276736,"68,39 %","38,49 %",3638601,"159,82 %","61,51 %",5915337,0,3638601,"155,84 %",1362991,0
JØRPELAND BILVERKSTED AS,952594605,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,7902482,7356826,545656,"6,90 %",2551,2904,-353,"-0,00 %",545304,"6,90 %",425338,"5,38 %",425338,4436176,3562761,7998937,"5,32 %",100000,6601843,"6,44 %","82,53 %",1397093,"21,16 %","17,47 %",7998937,0,1397093,"255,01 %",1317080,0
Jørpeland Servicenter A/S,947441302,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,11561931,10685217,876715,"7,58 %",11010,12957,-1947,"-0,02 %",874768,"7,57 %",681788,"5,90 %",681788,606967,2949014,3555981,"19,17 %",100000,1328513,"51,32 %","37,36 %",2227468,"167,67 %","62,64 %",3555981,0,2227468,"132,39 %",1156193,1
K. SIMONSEN STORBILSENTER AS,998605644,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,18,43591264,44575049,-983785,"-2,26 %",1077,1178828,-1177751,"-2,70 %",-2161536,"-4,96 %",-2076821,"-4,76 %",,4210592,13859784,18070376,"-11,49 %",505000,299244,"-694,02 %","1,66 %",17771132,"5938,68 %","98,34 %",18070376,1978456,15792676,"87,76 %",2421737,1
KAJANDER MOTOR AS,816205832,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,18,47221440,47137600,83840,"0,18 %",18364,491347,-472982,"-1,00 %",-389142,"-0,82 %",-305303,"-0,65 %",,1405043,24253745,25658788,"-1,19 %",1250000,6663319,"-4,58 %","25,97 %",18995469,"285,08 %","74,03 %",25658788,2215888,16779581,"144,54 %",2623413,1
KAMPEN SAGA ANTIRUST AS,915887295,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,7378304,6351752,1026552,"13,91 %",1144,5429,-4285,"-0,06 %",1022267,"13,86 %",798559,"10,82 %",798559,561892,1754979,2316871,"34,47 %",400000,1239970,"64,40 %","53,52 %",1076901,"86,85 %","46,48 %",2316871,0,1076901,"162,97 %",1229717,1
KAPP BIL OG KAROSSERIVERKSTED AS,987650338,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,18,39813802,39767335,46467,"0,12 %",32279,565020,-532741,"-1,34 %",-486273,"-1,22 %",-381777,"-0,96 %",-381777,2473754,8546170,11019924,"-3,46 %",600000,1159509,"-32,93 %","10,52 %",9860415,"850,40 %","89,48 %",11019924,2207247,7653168,"111,67 %",2211878,1
KAPP BILVERKSTED AS,976953231,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,10846611,9773565,1073046,"9,89 %",67156,3820,63336,"0,58 %",1136382,"10,48 %",890026,"8,21 %",,276417,2692404,2968821,"29,98 %",100000,722857,"123,13 %","24,35 %",2245964,"310,71 %","75,65 %",2968821,0,2245964,"119,88 %",903884,1
KAR AS,971644915,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,16,28782958,27266628,1516330,"5,27 %",4938,882038,-877100,"-3,05 %",639230,"2,22 %",522584,"1,82 %",,11875233,7121765,18996998,"2,75 %",555000,3217285,"16,24 %","16,94 %",15779713,"490,47 %","83,06 %",18996998,11503328,4276385,"166,54 %",1798935,1
KARLSENS BILLAKKERING AS,937967438,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,17164245,13599107,3565138,"20,77 %",19675,229319,-209644,"-1,22 %",3355494,"19,55 %",2612863,"15,22 %",,2529381,6633761,9163142,"28,51 %",40800,3866806,"67,57 %","42,20 %",5296337,"136,97 %","57,80 %",9163143,2772320,2524017,"262,83 %",1716425,1
KARMØY BIL AS,999550266,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,7238533,7179188,59345,"0,82 %",1806,736,1070,"0,01 %",60415,"0,83 %",60416,"0,83 %",,200086,1679863,1879948,"3,21 %",30000,1034861,"5,84 %","55,05 %",845088,"81,66 %","44,95 %",1879948,589,844499,"198,92 %",1034076,1
KARMØY BILSERVICE AS,974444186,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,14788271,13016562,1771709,"11,98 %",63307,8468,54840,"0,37 %",1826548,"12,35 %",1424148,"9,63 %",1424148,5458554,3462010,8920564,"15,96 %",5013973,5013973,"28,40 %","56,21 %",3906592,"77,91 %","43,79 %",8920564,0,3906592,"88,62 %",1232356,1
Karosserifabrikken AS,913336151,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,12714564,12468690,245874,"1,93 %",64715,4542,60173,"0,47 %",306047,"2,41 %",306047,"2,41 %",306047,868541,4624454,5492996,"5,57 %",100000,4221461,"7,25 %","76,85 %",1271535,"30,12 %","23,15 %",5492996,0,1271535,"363,69 %",1589321,1
KAROSSERIFORUM AS,992884304,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,26,53135970,48374346,4761624,"8,96 %",230156,12161,217995,"0,41 %",4979619,"9,37 %",3881601,"7,31 %",3881601,3167303,17231188,20398490,"19,03 %",3150000,9153851,"42,40 %","44,88 %",11244640,"122,84 %","55,12 %",20398490,0,11244640,"153,24 %",2043691,0
KARS KLYVE AS,911855461,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,13,52242510,48751204,3491306,"6,68 %",189,106738,-106549,"-0,20 %",3384757,"6,48 %",2634606,"5,04 %",2634606,633773,16029065,16662838,"15,81 %",2120193,8930664,"29,50 %","53,60 %",7732174,"86,58 %","46,40 %",16662838,223163,7509011,"213,46 %",4018655,1
KARS NENSET AS,998064996,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,13,163130619,157683073,5447547,"3,34 %",1857252,382333,1474919,"0,90 %",6922465,"4,24 %",5388933,"3,30 %",5388933,38862648,45532033,84394681,"6,39 %",20000,65937669,"8,17 %","78,13 %",18457012,"27,99 %","21,87 %",84394681,67979,18389033,"247,60 %",12548509,1
KAYA BILPLEIE AS,820612752,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,1570894,1379281,191613,"12,20 %",38,113,-75,"-0,00 %",191538,"12,19 %",149400,"9,51 %",,520725,226677,747402,"19,99 %",30000,324310,"46,07 %","43,39 %",423093,"130,46 %","56,61 %",747403,25437,397656,"57,00 %",261816,0
KB LAKK & KAROSSERI AS,930554936,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,27094879,23802081,3292798,"12,15 %",26411,307455,-281044,"-1,04 %",3011754,"11,12 %",2316907,"8,55 %",2316907,2136853,6714416,8851269,"26,18 %",30000,182904,"1266,73 %","2,07 %",8668365,"4739,30 %","97,93 %",8851269,3285991,5382375,"124,75 %",2709488,1
KCBIL AS,929418654,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,53319699,50580490,2739208,"5,14 %",10900,32795,-21895,"-0,04 %",2717314,"5,10 %",1989304,"3,73 %",1989304,91783,8582955,8674738,"22,93 %",30000,2157102,"92,22 %","24,87 %",6517636,"302,15 %","75,13 %",8674738,288480,6229156,"137,79 %",10663940,1
KELSAR BIL AS,921368984,47.300,Detaljhandel med drivstoff til motorvogner,2024,98,8910842,9337813,-426971,"-4,79 %",,,,,-426971,"-4,79 %",-426971,"-4,79 %",-426971,0,4882964,4882964,"-8,74 %",450000,56278,"-758,68 %","1,15 %",4826686,"8576,51 %","98,85 %",4882964,0,4826686,"101,17 %",90927,1
KEMPOWER AS,926667645,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,18,150912956,136657955,14255001,"9,45 %",203395,59651,143744,"0,10 %",14398744,"9,54 %",11225274,"7,44 %",,2535622,75912782,78448403,"14,31 %",30000,29187978,"38,46 %","37,21 %",49260425,"168,77 %","62,79 %",78448403,0,49260425,"154,11 %",8384053,0
KENNETH ARNESEN BILVERKSTED AS,917151784,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,9315643,8228271,1087372,"11,67 %",114715,2317,112398,"1,21 %",1199770,"12,88 %",935340,"10,04 %",,999671,4739459,5739130,"16,30 %",30000,4657144,"20,08 %","81,15 %",1081986,"23,23 %","18,85 %",5739130,0,1081986,"438,03 %",1164455,0
KEPLER BILSERVICE AS,997499077,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,21,26283921,23965791,2318130,"8,82 %",15613,66134,-50522,"-0,19 %",2267609,"8,63 %",1752186,"6,67 %",1752186,942547,5333207,6275754,"27,92 %",100000,1657375,"105,72 %","26,41 %",4618379,"278,66 %","73,59 %",6275754,0,4618379,"115,48 %",1251615,0
KG MOTOR AS,915356559,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,9,24554699,25057745,-503046,"-2,05 %",726,508182,-507456,"-2,07 %",-1010502,"-4,12 %",-1200240,"-4,89 %",,44000,9005022,9049021,"-13,26 %",1400000,-643502,"186,52 %","-7,11 %",9692523,"-1506,21 %","107,11 %",9049021,2300260,7392263,"121,82 %",2728300,1
KGK NORGE AS,930148571,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,73,221942534,212635016,9307518,"4,19 %",881316,2903210,-2021894,"-0,91 %",7285624,"3,28 %",7285624,"3,28 %",7285624,22499908,96198224,118698132,"6,14 %",16897600,15523604,"46,93 %","13,08 %",103174528,"664,63 %","86,92 %",118698132,8236724,94937804,"101,33 %",3040309,1
KIA BIL NORGE AS,967289310,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",2024,15,939118000,934980000,4138000,"0,44 %",26489000,28085000,-1597000,"-0,17 %",2542000,"0,27 %",1982000,"0,21 %",1982000,73850000,444546000,518396000,"0,38 %",125826000,125826000,"1,58 %","24,27 %",392570000,"311,99 %","75,73 %",518396000,112099000,280471000,"158,50 %",62607867,1
KING LONG NORGE AS,924752149,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,6,19599206,19082479,516727,"2,64 %",266798,479019,-212221,"-1,08 %",304505,"1,55 %",206040,"1,05 %",206040,3663405,16528525,20191929,"1,02 %",60430,898278,"22,94 %","4,45 %",19293652,"2147,85 %","95,55 %",20191929,0,19293652,"85,67 %",3266534,1
KINGSRØD LASTEBIL SENTER AS,927811774,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,22,49193162,48648979,544183,"1,11 %",78109,389047,-310938,"-0,63 %",233245,"0,47 %",181931,"0,37 %",181931,1579324,17700110,19279434,"0,94 %",1712800,6433543,"2,83 %","33,37 %",12845892,"199,67 %","66,63 %",19279434,0,12845892,"137,79 %",2236053,1
KIRKENES BIL AS,967066699,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,39,146231923,140622429,5609494,"3,84 %",365869,5889742,-5523873,"-3,78 %",85621,"0,06 %",63422,"0,04 %",63422,50042618,76360070,126402687,"0,05 %",300000,25877463,"0,25 %","20,47 %",100525225,"388,47 %","79,53 %",126402687,48742631,51782593,"147,46 %",3749536,1
KIRKENES MOTORSENTER AS,930097772,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,10,11216730,16268148,-5051418,"-45,03 %",114,49301,-49187,"-0,44 %",-5100604,"-45,47 %",-4693862,"-41,85 %",,1332300,11504440,12836740,"-36,57 %",100000,-3151773,"148,93 %","-24,55 %",15988512,"-507,29 %","124,55 %",12836739,5646980,10341533,"111,25 %",1121673,0
KIRKENG BIL AS,981886828,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,16079139,13517823,2561316,"15,93 %",65154,3013,62141,"0,39 %",2623457,"16,32 %",2052269,"12,76 %",,687367,4662966,5350333,"38,36 %",100000,973260,"210,87 %","18,19 %",4377072,"449,73 %","81,81 %",5350333,0,4377072,"106,53 %",1786571,1
KISOLVE AS,934532996,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,12546,36975,-24429,"-194,72 %",,,,,-24429,"-194,72 %",-16462,"-131,21 %",-16462,7967,74561,82528,"-19,95 %",18216,1754,"-938,54 %","2,13 %",80774,"4605,13 %","97,87 %",82528,0,80774,"92,31 %",1568,0
KJELL ORE AS,951346780,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,33,147018348,136751247,10267101,"6,98 %",349017,516597,-167580,"-0,11 %",10099522,"6,87 %",7879355,"5,36 %",7879355,3668866,44654177,48323043,"16,31 %",2100000,25679756,"30,68 %","53,14 %",22643286,"88,18 %","46,86 %",48323043,0,22643286,"197,21 %",4455101,0
